"No.","Collection Period","Collection Start Time","Value","Unit"
"1138","1 Hour","2018-09-14 07:00:00","1.41","kWh"
"1139","1 Hour","2018-09-14 08:00:00","6.17","kWh"
"1140","1 Hour","2018-09-14 09:00:00","11.25","kWh"
"1141","1 Hour","2018-09-14 10:00:00","15.50","kWh"
"1142","1 Hour","2018-09-14 11:00:00","18.47","kWh"
"1143","1 Hour","2018-09-14 12:00:00","20.19","kWh"
"1144","1 Hour","2018-09-14 13:00:00","21.34","kWh"
"1145","1 Hour","2018-09-14 14:00:00","19.39","kWh"
"1146","1 Hour","2018-09-14 15:00:00","15.47","kWh"
"1147","1 Hour","2018-09-14 16:00:00","10.72","kWh"
"1148","1 Hour","2018-09-14 17:00:00","1.80","kWh"
"1149","1 Hour","2018-09-14 18:00:00","0.96","kWh"
"1150","1 Hour","2018-09-14 19:00:00","0.02","kWh"
"1151","1 Hour","2018-09-14 20:00:00","0.00","kWh"
"1152","1 Hour","2018-09-14 21:00:00","0.00","kWh"
"1153","1 Hour","2018-09-14 22:00:00","0.00","kWh"
"1154","1 Hour","2018-09-14 23:00:00","0.00","kWh"
"1155","1 Hour","2018-09-15 00:00:00","0.00","kWh"
"1156","1 Hour","2018-09-15 01:00:00","0.00","kWh"
"1157","1 Hour","2018-09-15 02:00:00","0.00","kWh"
"1158","1 Hour","2018-09-15 03:00:00","0.00","kWh"
"1159","1 Hour","2018-09-15 04:00:00","0.00","kWh"
"1160","1 Hour","2018-09-15 05:00:00","0.00","kWh"
"1161","1 Hour","2018-09-15 06:00:00","0.03","kWh"
"1162","1 Hour","2018-09-15 07:00:00","1.31","kWh"
"1163","1 Hour","2018-09-15 08:00:00","6.08","kWh"
"1164","1 Hour","2018-09-15 09:00:00","10.05","kWh"
"1165","1 Hour","2018-09-15 10:00:00","14.53","kWh"
"1166","1 Hour","2018-09-15 11:00:00","10.85","kWh"
"1167","1 Hour","2018-09-15 12:00:00","9.37","kWh"
"1168","1 Hour","2018-09-15 13:00:00","14.06","kWh"
"1169","1 Hour","2018-09-15 14:00:00","16.93","kWh"
"1170","1 Hour","2018-09-15 15:00:00","11.70","kWh"
"1171","1 Hour","2018-09-15 16:00:00","7.68","kWh"
"1172","1 Hour","2018-09-15 17:00:00","4.75","kWh"
"1173","1 Hour","2018-09-15 18:00:00","1.56","kWh"
"1174","1 Hour","2018-09-15 19:00:00","0.01","kWh"
"1175","1 Hour","2018-09-15 20:00:00","0.00","kWh"
"1176","1 Hour","2018-09-15 21:00:00","0.00","kWh"
"1177","1 Hour","2018-09-15 22:00:00","0.00","kWh"
"1178","1 Hour","2018-09-15 23:00:00","0.00","kWh"
"1179","1 Hour","2018-09-16 00:00:00","0.00","kWh"
"1180","1 Hour","2018-09-16 01:00:00","0.00","kWh"
"1181","1 Hour","2018-09-16 02:00:00","0.00","kWh"
"1182","1 Hour","2018-09-16 03:00:00","0.00","kWh"
"1183","1 Hour","2018-09-16 04:00:00","0.00","kWh"
"1184","1 Hour","2018-09-16 05:00:00","0.00","kWh"
"1185","1 Hour","2018-09-16 06:00:00","0.01","kWh"
"1186","1 Hour","2018-09-16 07:00:00","0.38","kWh"
"1187","1 Hour","2018-09-16 08:00:00","2.26","kWh"
"1188","1 Hour","2018-09-16 09:00:00","6.13","kWh"
"1189","1 Hour","2018-09-16 10:00:00","14.90","kWh"
"1190","1 Hour","2018-09-16 11:00:00","19.16","kWh"
"1191","1 Hour","2018-09-16 12:00:00","16.12","kWh"
"1192","1 Hour","2018-09-16 13:00:00","20.76","kWh"
"1193","1 Hour","2018-09-16 14:00:00","15.40","kWh"
"1194","1 Hour","2018-09-16 15:00:00","17.22","kWh"
"1195","1 Hour","2018-09-16 16:00:00","8.23","kWh"
"1196","1 Hour","2018-09-16 17:00:00","3.46","kWh"
"1197","1 Hour","2018-09-16 18:00:00","1.46","kWh"
"1198","1 Hour","2018-09-16 19:00:00","0.01","kWh"
"1199","1 Hour","2018-09-16 20:00:00","0.00","kWh"
"1200","1 Hour","2018-09-16 21:00:00","0.00","kWh"
"1201","1 Hour","2018-09-16 22:00:00","0.00","kWh"
"1202","1 Hour","2018-09-16 23:00:00","0.00","kWh"
"1203","1 Hour","2018-09-17 00:00:00","0.00","kWh"
"1204","1 Hour","2018-09-17 01:00:00","0.00","kWh"
"1205","1 Hour","2018-09-17 02:00:00","0.00","kWh"
"1206","1 Hour","2018-09-17 03:00:00","0.00","kWh"
"1207","1 Hour","2018-09-17 04:00:00","0.00","kWh"
"1208","1 Hour","2018-09-17 05:00:00","0.00","kWh"
"1209","1 Hour","2018-09-17 06:00:00","0.02","kWh"
"1210","1 Hour","2018-09-17 07:00:00","1.53","kWh"
"1211","1 Hour","2018-09-17 08:00:00","6.37","kWh"
"1212","1 Hour","2018-09-17 09:00:00","12.26","kWh"
"1213","1 Hour","2018-09-17 10:00:00","15.84","kWh"
"1214","1 Hour","2018-09-17 11:00:00","19.03","kWh"
"1215","1 Hour","2018-09-17 12:00:00","13.79","kWh"
"1216","1 Hour","2018-09-17 13:00:00","13.34","kWh"
"1217","1 Hour","2018-09-17 14:00:00","19.19","kWh"
"1218","1 Hour","2018-09-17 15:00:00","15.86","kWh"
"1219","1 Hour","2018-09-17 16:00:00","9.54","kWh"
"1220","1 Hour","2018-09-17 17:00:00","6.39","kWh"
"1221","1 Hour","2018-09-17 18:00:00","1.29","kWh"
"1222","1 Hour","2018-09-17 19:00:00","0.05","kWh"
"1223","1 Hour","2018-09-17 20:00:00","0.00","kWh"
"1224","1 Hour","2018-09-17 21:00:00","0.00","kWh"
"1225","1 Hour","2018-09-17 22:00:00","0.00","kWh"
"1226","1 Hour","2018-09-17 23:00:00","0.00","kWh"
"1227","1 Hour","2018-09-18 00:00:00","0.00","kWh"
"1228","1 Hour","2018-09-18 01:00:00","0.00","kWh"
"1229","1 Hour","2018-09-18 02:00:00","0.00","kWh"
"1230","1 Hour","2018-09-18 03:00:00","0.00","kWh"
"1231","1 Hour","2018-09-18 04:00:00","0.00","kWh"
"1232","1 Hour","2018-09-18 05:00:00","0.00","kWh"
"1233","1 Hour","2018-09-18 06:00:00","0.00","kWh"
"1234","1 Hour","2018-09-18 07:00:00","1.25","kWh"
"1235","1 Hour","2018-09-18 08:00:00","5.30","kWh"
"1236","1 Hour","2018-09-18 09:00:00","10.92","kWh"
"1237","1 Hour","2018-09-18 10:00:00","15.34","kWh"
"1238","1 Hour","2018-09-18 11:00:00","16.57","kWh"
"1239","1 Hour","2018-09-18 12:00:00","18.53","kWh"
"1240","1 Hour","2018-09-18 13:00:00","21.04","kWh"
"1241","1 Hour","2018-09-18 14:00:00","18.37","kWh"
"1242","1 Hour","2018-09-18 15:00:00","13.43","kWh"
"1243","1 Hour","2018-09-18 16:00:00","10.23","kWh"
"1244","1 Hour","2018-09-18 17:00:00","4.05","kWh"
"1245","1 Hour","2018-09-18 18:00:00","1.09","kWh"
"1246","1 Hour","2018-09-18 19:00:00","0.02","kWh"
"1247","1 Hour","2018-09-18 20:00:00","0.00","kWh"
"1248","1 Hour","2018-09-18 21:00:00","0.00","kWh"
"1249","1 Hour","2018-09-18 22:00:00","0.00","kWh"
"1250","1 Hour","2018-09-18 23:00:00","0.00","kWh"
"1251","1 Hour","2018-09-19 00:00:00","0.00","kWh"
"1252","1 Hour","2018-09-19 01:00:00","0.00","kWh"
"1253","1 Hour","2018-09-19 02:00:00","0.00","kWh"
"1254","1 Hour","2018-09-19 03:00:00","0.00","kWh"
"1255","1 Hour","2018-09-19 04:00:00","0.00","kWh"
"1256","1 Hour","2018-09-19 05:00:00","0.00","kWh"
"1257","1 Hour","2018-09-19 06:00:00","0.01","kWh"
"1258","1 Hour","2018-09-19 07:00:00","1.32","kWh"
"1259","1 Hour","2018-09-19 08:00:00","5.95","kWh"
"1260","1 Hour","2018-09-19 09:00:00","11.25","kWh"
"1261","1 Hour","2018-09-19 10:00:00","15.92","kWh"
"1262","1 Hour","2018-09-19 11:00:00","18.93","kWh"
"1263","1 Hour","2018-09-19 12:00:00","20.64","kWh"
"1264","1 Hour","2018-09-19 13:00:00","21.08","kWh"
"1265","1 Hour","2018-09-19 14:00:00","18.95","kWh"
"1266","1 Hour","2018-09-19 15:00:00","15.51","kWh"
"1267","1 Hour","2018-09-19 16:00:00","10.71","kWh"
"1268","1 Hour","2018-09-19 17:00:00","5.27","kWh"
"1269","1 Hour","2018-09-19 18:00:00","1.13","kWh"
"1270","1 Hour","2018-09-19 19:00:00","0.01","kWh"
"1271","1 Hour","2018-09-19 20:00:00","0.00","kWh"
"1272","1 Hour","2018-09-19 21:00:00","0.00","kWh"
"1273","1 Hour","2018-09-19 22:00:00","0.00","kWh"
"1274","1 Hour","2018-09-19 23:00:00","0.00","kWh"
"1275","1 Hour","2018-09-20 00:00:00","0.00","kWh"
"1276","1 Hour","2018-09-20 01:00:00","0.00","kWh"
"1277","1 Hour","2018-09-20 02:00:00","0.00","kWh"
"1278","1 Hour","2018-09-20 03:00:00","0.00","kWh"
"1279","1 Hour","2018-09-20 04:00:00","0.00","kWh"
"1280","1 Hour","2018-09-20 05:00:00","0.00","kWh"
"1281","1 Hour","2018-09-20 06:00:00","0.00","kWh"
"1282","1 Hour","2018-09-20 07:00:00","1.21","kWh"
"1283","1 Hour","2018-09-20 08:00:00","5.53","kWh"
"1284","1 Hour","2018-09-20 09:00:00","11.14","kWh"
"1285","1 Hour","2018-09-20 10:00:00","15.33","kWh"
"1286","1 Hour","2018-09-20 11:00:00","18.35","kWh"
"1287","1 Hour","2018-09-20 12:00:00","19.96","kWh"
"1288","1 Hour","2018-09-20 13:00:00","20.55","kWh"
"1289","1 Hour","2018-09-20 14:00:00","18.55","kWh"
"1290","1 Hour","2018-09-20 15:00:00","14.91","kWh"
"1291","1 Hour","2018-09-20 16:00:00","9.84","kWh"
"1292","1 Hour","2018-09-20 17:00:00","4.99","kWh"
"1293","1 Hour","2018-09-20 18:00:00","1.06","kWh"
"1294","1 Hour","2018-09-20 19:00:00","0.01","kWh"
"1295","1 Hour","2018-09-20 20:00:00","0.00","kWh"
"1296","1 Hour","2018-09-20 21:00:00","0.00","kWh"
"1297","1 Hour","2018-09-20 22:00:00","0.00","kWh"
"1298","1 Hour","2018-09-20 23:00:00","0.00","kWh"
"1299","1 Hour","2018-09-21 00:00:00","0.00","kWh"
"1300","1 Hour","2018-09-21 01:00:00","0.00","kWh"
"1301","1 Hour","2018-09-21 02:00:00","0.00","kWh"
"1302","1 Hour","2018-09-21 03:00:00","0.00","kWh"
"1303","1 Hour","2018-09-21 04:00:00","0.00","kWh"
"1304","1 Hour","2018-09-21 05:00:00","0.00","kWh"
"1305","1 Hour","2018-09-21 06:00:00","0.00","kWh"
"1306","1 Hour","2018-09-21 07:00:00","1.08","kWh"
"1307","1 Hour","2018-09-21 08:00:00","5.18","kWh"
"1308","1 Hour","2018-09-21 09:00:00","10.63","kWh"
"1309","1 Hour","2018-09-21 10:00:00","14.88","kWh"
"1310","1 Hour","2018-09-21 11:00:00","17.97","kWh"
"1311","1 Hour","2018-09-21 12:00:00","19.80","kWh"
"1312","1 Hour","2018-09-21 13:00:00","20.56","kWh"
"1313","1 Hour","2018-09-21 14:00:00","18.55","kWh"
"1314","1 Hour","2018-09-21 15:00:00","15.09","kWh"
"1315","1 Hour","2018-09-21 16:00:00","10.56","kWh"
"1316","1 Hour","2018-09-21 17:00:00","5.25","kWh"
"1317","1 Hour","2018-09-21 18:00:00","1.02","kWh"
"1318","1 Hour","2018-09-21 19:00:00","0.01","kWh"
"1319","1 Hour","2018-09-21 20:00:00","0.00","kWh"
"1320","1 Hour","2018-09-21 21:00:00","0.00","kWh"
"1321","1 Hour","2018-09-21 22:00:00","0.00","kWh"
"1322","1 Hour","2018-09-21 23:00:00","0.00","kWh"
"1323","1 Hour","2018-09-22 00:00:00","0.00","kWh"
"1324","1 Hour","2018-09-22 01:00:00","0.00","kWh"
"1325","1 Hour","2018-09-22 02:00:00","0.00","kWh"
"1326","1 Hour","2018-09-22 03:00:00","0.00","kWh"
"1327","1 Hour","2018-09-22 04:00:00","0.00","kWh"
"1328","1 Hour","2018-09-22 05:00:00","0.00","kWh"
"1329","1 Hour","2018-09-22 06:00:00","0.00","kWh"
"1330","1 Hour","2018-09-22 07:00:00","1.03","kWh"
"1331","1 Hour","2018-09-22 08:00:00","5.25","kWh"
"1332","1 Hour","2018-09-22 09:00:00","10.02","kWh"
"1333","1 Hour","2018-09-22 10:00:00","15.00","kWh"
"1334","1 Hour","2018-09-22 11:00:00","17.09","kWh"
"1335","1 Hour","2018-09-22 12:00:00","7.16","kWh"
"1336","1 Hour","2018-09-22 13:00:00","2.80","kWh"
"1337","1 Day","2018-07-27 00:00:00","29.18","kWh"
"1338","1 Day","2018-07-27 00:00:00","247.10","kWh"
"1339","1 Day","2018-07-27 00:00:00","41.90","kWh"
"1340","1 Day","2018-07-28 00:00:00","92.55","kWh"
"1341","1 Day","2018-07-28 00:00:00","300.00","kWh"
"1342","1 Day","2018-07-28 00:00:00","48.34","kWh"
"1343","1 Day","2018-07-29 00:00:00","173.33","kWh"
"1344","1 Day","2018-07-29 00:00:00","246.70","kWh"
"1345","1 Day","2018-07-29 00:00:00","46.93","kWh"
"1346","1 Day","2018-07-30 00:00:00","98.20","kWh"
"1347","1 Day","2018-07-30 00:00:00","298.00","kWh"
"1348","1 Day","2018-07-30 00:00:00","53.88","kWh"
"1349","1 Day","2018-07-31 00:00:00","99.63","kWh"
"1350","1 Day","2018-07-31 00:00:00","294.20","kWh"
"1351","1 Day","2018-07-31 00:00:00","50.25","kWh"
"1352","1 Day","2018-08-01 00:00:00","17.49","kWh"
"1353","1 Day","2018-08-01 00:00:00","147.10","kWh"
"1354","1 Day","2018-08-01 00:00:00","49.61","kWh"
"1355","1 Day","2018-08-02 00:00:00","70.97","kWh"
"1356","1 Day","2018-08-02 00:00:00","278.40","kWh"
"1357","1 Day","2018-08-02 00:00:00","25.52","kWh"
"1358","1 Day","2018-08-03 00:00:00","2.00","kWh"
"1359","1 Day","2018-08-03 00:00:00","107.30","kWh"
"1360","1 Day","2018-08-03 00:00:00","200.00","kWh"
"1361","1 Day","2018-08-04 00:00:00","25.48","kWh"
"1362","1 Day","2018-08-04 00:00:00","229.50","kWh"
"1363","1 Day","2018-08-04 00:00:00","149.04","kWh"
"1364","1 Day","2018-08-05 00:00:00","42.92","kWh"
"1365","1 Day","2018-08-05 00:00:00","75.80","kWh"
"1366","1 Day","2018-08-05 00:00:00","97.65","kWh"
"1367","1 Day","2018-08-06 00:00:00","51.08","kWh"
"1368","1 Day","2018-08-06 00:00:00","81.50","kWh"
"1369","1 Day","2018-08-06 00:00:00","50.80","kWh"
"1370","1 Day","2018-08-07 00:00:00","0.00","kWh"
"1371","1 Day","2018-08-07 00:00:00","0.00","kWh"
"1372","1 Day","2018-08-07 00:00:00","50.80","kWh"
"1373","1 Day","2018-08-08 00:00:00","0.00","kWh"
"1374","1 Day","2018-08-08 00:00:00","0.00","kWh"
"1375","1 Day","2018-08-08 00:00:00","50.80","kWh"
"1376","1 Day","2018-08-09 00:00:00","1.44","kWh"
"1377","1 Day","2018-08-09 00:00:00","19.30","kWh"
"1378","1 Day","2018-08-09 00:00:00","59.00","kWh"
"1379","1 Day","2018-08-10 00:00:00","52.14","kWh"
"1380","1 Day","2018-08-10 00:00:00","65.50","kWh"
"1381","1 Day","2018-08-10 00:00:00","60.98","kWh"
"1382","1 Day","2018-08-11 00:00:00","2.97","kWh"
"1383","1 Day","2018-08-11 00:00:00","23.00","kWh"
"1384","1 Day","2018-08-11 00:00:00","70.60","kWh"
"1385","1 Day","2018-08-12 00:00:00","43.29","kWh"
"1386","1 Day","2018-08-12 00:00:00","72.20","kWh"
"1387","1 Day","2018-08-12 00:00:00","56.96","kWh"
"1388","1 Day","2018-08-13 00:00:00","15.92","kWh"
"1389","1 Day","2018-08-13 00:00:00","64.70","kWh"
"1390","1 Day","2018-08-13 00:00:00","135.96","kWh"
"1391","1 Day","2018-08-14 00:00:00","40.00","kWh"
"1392","1 Day","2018-08-14 00:00:00","66.30","kWh"
"1393","1 Day","2018-08-14 00:00:00","79.11","kWh"
"1394","1 Day","2018-08-15 00:00:00","39.97","kWh"
"1395","1 Day","2018-08-15 00:00:00","73.60","kWh"
"1396","1 Day","2018-08-15 00:00:00","70.04","kWh"
"1397","1 Day","2018-08-16 00:00:00","22.16","kWh"
"1398","1 Day","2018-08-16 00:00:00","60.40","kWh"
"1399","1 Day","2018-08-16 00:00:00","95.21","kWh"
"1400","1 Day","2018-08-17 00:00:00","20.53","kWh"
"1401","1 Day","2018-08-17 00:00:00","102.50","kWh"
"1402","1 Day","2018-08-17 00:00:00","50.83","kWh"
"1403","1 Day","2018-08-18 00:00:00","29.88","kWh"
"1404","1 Day","2018-08-18 00:00:00","60.90","kWh"
"1405","1 Day","2018-08-18 00:00:00","58.82","kWh"
"1406","1 Day","2018-08-19 00:00:00","103.93","kWh"
"1407","1 Day","2018-08-19 00:00:00","237.00","kWh"
"1408","1 Day","2018-08-19 00:00:00","27.32","kWh"
"1409","1 Day","2018-08-20 00:00:00","43.27","kWh"
"1410","1 Day","2018-08-20 00:00:00","67.40","kWh"
"1411","1 Day","2018-08-20 00:00:00","39.94","kWh"
"1412","1 Day","2018-08-21 00:00:00","39.17","kWh"
"1413","1 Day","2018-08-21 00:00:00","198.60","kWh"
"1414","1 Day","2018-08-21 00:00:00","101.37","kWh"
"1415","1 Day","2018-08-22 00:00:00","49.48","kWh"
"1416","1 Day","2018-08-22 00:00:00","77.20","kWh"
"1417","1 Day","2018-08-22 00:00:00","47.37","kWh"
"1418","1 Day","2018-08-23 00:00:00","48.02","kWh"
"1419","1 Day","2018-08-23 00:00:00","72.20","kWh"
"1420","1 Day","2018-08-23 00:00:00","47.73","kWh"
"1421","1 Day","2018-08-24 00:00:00","43.43","kWh"
"1422","1 Day","2018-08-24 00:00:00","78.20","kWh"
"1423","1 Day","2018-08-24 00:00:00","73.24","kWh"
"1424","1 Day","2018-08-25 00:00:00","42.47","kWh"
"1425","1 Day","2018-08-25 00:00:00","85.80","kWh"
"1426","1 Day","2018-08-25 00:00:00","71.37","kWh"
"1427","1 Day","2018-08-26 00:00:00","44.43","kWh"
"1428","1 Day","2018-08-26 00:00:00","58.70","kWh"
"1429","1 Day","2018-08-26 00:00:00","64.82","kWh"
"1430","1 Day","2018-08-27 00:00:00","10.07","kWh"
"1431","1 Day","2018-08-27 00:00:00","28.00","kWh"
"1432","1 Day","2018-08-27 00:00:00","67.47","kWh"
"1433","1 Day","2018-08-28 00:00:00","12.03","kWh"
"1434","1 Day","2018-08-28 00:00:00","40.50","kWh"
"1435","1 Day","2018-08-28 00:00:00","84.64","kWh"
"1436","1 Day","2018-08-29 00:00:00","128.22","kWh"
"1437","1 Day","2018-08-29 00:00:00","272.80","kWh"
"1438","1 Day","2018-08-29 00:00:00","20.39","kWh"
"1439","1 Day","2018-08-30 00:00:00","43.48","kWh"
"1440","1 Day","2018-08-30 00:00:00","66.60","kWh"
"1441","1 Day","2018-08-30 00:00:00","54.06","kWh"
"1442","1 Day","2018-08-31 00:00:00","41.20","kWh"
"1443","1 Day","2018-08-31 00:00:00","62.70","kWh"
"1444","1 Day","2018-08-31 00:00:00","81.69","kWh"
"1445","1 Day","2018-09-01 00:00:00","41.75","kWh"
"1446","1 Day","2018-09-01 00:00:00","61.90","kWh"
"1447","1 Day","2018-09-01 00:00:00","42.37","kWh"
"1448","1 Day","2018-09-02 00:00:00","43.58","kWh"
"1449","1 Day","2018-09-02 00:00:00","71.50","kWh"
"1450","1 Day","2018-09-02 00:00:00","48.92","kWh"
"1451","1 Day","2018-09-03 00:00:00","47.30","kWh"
"1452","1 Day","2018-09-03 00:00:00","198.90","kWh"
"1453","1 Day","2018-09-03 00:00:00","50.84","kWh"
"1454","1 Day","2018-09-04 00:00:00","155.69","kWh"
"1455","1 Day","2018-09-04 00:00:00","237.80","kWh"
"1456","1 Day","2018-09-04 00:00:00","41.20","kWh"
"1457","1 Day","2018-09-05 00:00:00","57.84","kWh"
"1458","1 Day","2018-09-05 00:00:00","207.00","kWh"
"1459","1 Day","2018-09-05 00:00:00","49.60","kWh"
"1460","1 Day","2018-09-06 00:00:00","30.94","kWh"
"1461","1 Day","2018-09-06 00:00:00","123.40","kWh"
"1462","1 Day","2018-09-06 00:00:00","78.07","kWh"
"1463","1 Day","2018-09-07 00:00:00","47.99","kWh"
"1464","1 Day","2018-09-07 00:00:00","219.10","kWh"
"1465","1 Day","2018-09-07 00:00:00","58.98","kWh"
"1466","1 Day","2018-09-08 00:00:00","18.48","kWh"
"1467","1 Day","2018-09-08 00:00:00","36.90","kWh"
"1468","1 Day","2018-09-08 00:00:00","21.24","kWh"
"1469","1 Day","2018-09-09 00:00:00","24.94","kWh"
"1470","1 Day","2018-09-09 00:00:00","75.70","kWh"
"1471","1 Day","2018-09-09 00:00:00","47.94","kWh"
"1472","1 Day","2018-09-10 00:00:00","8.61","kWh"
"1473","1 Day","2018-09-10 00:00:00","68.90","kWh"
"1474","1 Day","2018-09-10 00:00:00","52.38","kWh"
"1475","1 Day","2018-09-11 00:00:00","0.29","kWh"
"1476","1 Day","2018-09-11 00:00:00","9.40","kWh"
"1477","1 Day","2018-09-11 00:00:00","48.72","kWh"
"1478","1 Day","2018-09-12 00:00:00","94.52","kWh"
"1479","1 Day","2018-09-12 00:00:00","230.90","kWh"
"1480","1 Day","2018-09-12 00:00:00","48.93","kWh"
"1481","1 Day","2018-09-13 00:00:00","154.70","kWh"
"1482","1 Day","2018-09-13 00:00:00","224.80","kWh"
"1483","1 Day","2018-09-13 00:00:00","17.56","kWh"
"1484","1 Day","2018-09-14 00:00:00","142.70","kWh"
"1485","1 Day","2018-09-14 00:00:00","218.60","kWh"
"1486","1 Day","2018-09-14 00:00:00","19.47","kWh"
"1487","1 Day","2018-09-15 00:00:00","108.91","kWh"
"1488","1 Day","2018-09-15 00:00:00","291.50","kWh"
"1489","1 Day","2018-09-15 00:00:00","14.60","kWh"
"1490","1 Day","2018-09-16 00:00:00","125.50","kWh"
"1491","1 Day","2018-09-16 00:00:00","300.00","kWh"
"1492","1 Day","2018-09-16 00:00:00","15.62","kWh"
"1493","1 Day","2018-09-17 00:00:00","134.50","kWh"
"1494","1 Day","2018-09-17 00:00:00","258.60","kWh"
"1495","1 Day","2018-09-17 00:00:00","23.57","kWh"
"1496","1 Day","2018-09-18 00:00:00","136.14","kWh"
"1497","1 Day","2018-09-18 00:00:00","222.20","kWh"
"1498","1 Day","2018-09-18 00:00:00","22.29","kWh"
"1499","1 Day","2018-09-19 00:00:00","146.68","kWh"
"1500","1 Day","2018-09-19 00:00:00","217.40","kWh"
"1501","1 Day","2018-09-19 00:00:00","20.55","kWh"
"1502","1 Day","2018-09-20 00:00:00","141.43","kWh"
"1503","1 Day","2018-09-20 00:00:00","212.20","kWh"
"1504","1 Day","2018-09-20 00:00:00","17.31","kWh"
"1505","1 Day","2018-09-21 00:00:00","140.58","kWh"
"1506","1 Day","2018-09-21 00:00:00","210.30","kWh"
"1507","1 Day","2018-09-21 00:00:00","20.02","kWh"
"1508","1 Month","2018-07-01 00:00:00","492.89","kWh"
"1509","1 Month","2018-08-01 00:00:00","1127.44","kWh"
